map_id,lap_time,gamemode,location,track
speedway2_inner_oval,20,elimination race,Big Valley Speedway,Inner Oval
speedway2_outer_oval,20,elimination race,Big Valley Speedway,Outer Oval
dirt_speedway_dirt_oval,20,elimination race,Bloomfield Speedway,Dirt Oval
speedway1_oval,20,elimination race,Hilltop Stadium,Oval
fields12_1,20,elimination race,Kingston Raceway,Asphalt Oval
fields12_1_rev,20,elimination race,Kingston Raceway,Asphalt Oval Reverse
fields10_1,15,elimination race,Mudford Motorpark,Mud Oval
fields09_1,25,elimination race,Rockfield Roughspot,Dirt Oval
